,id,app,name,applied
,1,contenttypes,0001_initial,2024-05-16 16:07:43.082861
,2,contenttypes,0002_remove_content_type_name,2024-05-16 16:07:43.095823
,3,auth,0001_initial,2024-05-16 16:07:43.120734
,4,auth,0002_alter_permission_name_max_length,2024-05-16 16:07:43.136682
,5,auth,0003_alter_user_email_max_length,2024-05-16 16:07:43.146652
,6,auth,0004_alter_user_username_opts,2024-05-16 16:07:43.157127
,7,auth,0005_alter_user_last_login_null,2024-05-16 16:07:43.169087
,8,auth,0006_require_contenttypes_0002,2024-05-16 16:07:43.177061
,9,auth,0007_alter_validators_add_error_messages,2024-05-16 16:07:43.187027
,10,auth,0008_alter_user_username_max_length,2024-05-16 16:07:43.198989
,11,auth,0009_alter_user_last_name_max_length,2024-05-16 16:07:43.209951
,12,auth,0010_alter_group_name_max_length,2024-05-16 16:07:43.226894
,13,auth,0011_update_proxy_permissions,2024-05-16 16:07:43.236864
,14,auth,0012_alter_user_first_name_max_length,2024-05-16 16:07:43.246836
,15,UserServices,0001_initial,2024-05-16 16:07:43.308146
,16,ProductServices,0001_initial,2024-05-16 16:07:43.321103
,17,OrderService,0001_initial,2024-05-16 16:07:43.348016
,18,InventoryServices,0001_initial,2024-05-16 16:07:43.367951
,19,InventoryServices,0002_initial,2024-05-16 16:07:43.864005
,20,OrderService,0002_initial,2024-05-16 16:07:45.442437
,21,ProductServices,0002_initial,2024-05-16 16:07:45.850331
,22,admin,0001_initial,2024-05-16 16:07:45.981811
,23,admin,0002_logentry_remove_auto_add,2024-05-16 16:07:46.036341
,24,admin,0003_logentry_add_action_flag_choices,2024-05-16 16:07:46.083233
,25,sessions,0001_initial,2024-05-16 16:07:46.096194
,,,,
